epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,36049.2,1.66181,0.93265,1.21844,0.87692,0.777,0.85858,0.4884,1.15776,0.63416,0.87132,0.000800131,0.000800131,0.000800131
91,36397.5,1.66416,0.92542,1.2192,0.87698,0.77702,0.85854,0.48882,1.15745,0.63265,0.87113,0.000795954,0.000795954,0.000795954
92,36726.1,1.65933,0.92546,1.21399,0.87723,0.77696,0.85896,0.48905,1.15718,0.63117,0.87112,0.000791744,0.000791744,0.000791744
93,37662.2,1.66,0.9258,1.21638,0.87769,0.77718,0.85891,0.48933,1.15702,0.63044,0.8709,0.000787503,0.000787503,0.000787503
94,37984,1.6625,0.92595,1.21574,0.87774,0.77792,0.8588,0.48948,1.15658,0.62958,0.87076,0.000783231,0.000783231,0.000783231
95,38409.2,1.65769,0.92507,1.21754,0.87729,0.77852,0.85881,0.48964,1.15632,0.62813,0.87061,0.000778929,0.000778929,0.000778929
96,38740.9,1.66001,0.92794,1.21951,0.8768,0.77836,0.85899,0.48988,1.1561,0.62661,0.87038,0.000774596,0.000774596,0.000774596
97,39082.6,1.66138,0.92697,1.21747,0.87614,0.7789,0.85937,0.49003,1.1554,0.62584,0.87006,0.000770234,0.000770234,0.000770234
98,39406.1,1.65403,0.92157,1.21648,0.87708,0.77922,0.85959,0.49014,1.15507,0.62555,0.86997,0.000765843,0.000765843,0.000765843
99,39745.9,1.6482,0.91831,1.2156,0.87868,0.77914,0.85967,0.49034,1.15479,0.62518,0.8698,0.000761423,0.000761423,0.000761423
100,40076.6,1.65608,0.91663,1.21431,0.87802,0.78002,0.85963,0.49037,1.15442,0.62447,0.86965,0.000756976,0.000756976,0.000756976
101,40418.7,1.65051,0.91807,1.21445,0.8787,0.77898,0.85976,0.4905,1.15381,0.62352,0.86938,0.0007525,0.0007525,0.0007525
102,40745.8,1.64422,0.9104,1.20991,0.87866,0.77914,0.85997,0.49061,1.15339,0.62222,0.86927,0.000747997,0.000747997,0.000747997
103,41324.6,1.65312,0.91816,1.21321,0.87838,0.77978,0.85995,0.49065,1.15281,0.62141,0.86896,0.000743468,0.000743468,0.000743468
104,41639.8,1.64561,0.91523,1.21031,0.87783,0.78094,0.86022,0.49093,1.15233,0.62097,0.86874,0.000738913,0.000738913,0.000738913
105,42381.8,1.65063,0.91628,1.21396,0.87848,0.78036,0.86038,0.49119,1.15231,0.62008,0.86871,0.000734332,0.000734332,0.000734332
106,42709.4,1.652,0.91496,1.21022,0.87809,0.78057,0.86089,0.4918,1.15187,0.61919,0.86852,0.000729725,0.000729725,0.000729725
107,43060.4,1.64791,0.91391,1.21289,0.87816,0.7811,0.86087,0.49219,1.15116,0.61824,0.86826,0.000725094,0.000725094,0.000725094
108,43385,1.6517,0.91424,1.20991,0.87819,0.78131,0.8613,0.49222,1.15081,0.61725,0.86802,0.000720439,0.000720439,0.000720439
109,43721,1.64166,0.91046,1.20648,0.87875,0.78169,0.86181,0.49263,1.15036,0.61643,0.86781,0.000715761,0.000715761,0.000715761
110,44043.1,1.64423,0.91153,1.20863,0.87933,0.78126,0.8617,0.49293,1.14973,0.61599,0.86745,0.000711059,0.000711059,0.000711059
111,44393.8,1.6396,0.90075,1.2056,0.87901,0.78126,0.86183,0.49334,1.14913,0.61511,0.86707,0.000706335,0.000706335,0.000706335
112,44713.1,1.64337,0.90806,1.20605,0.87845,0.78203,0.86214,0.49354,1.14872,0.61387,0.86688,0.000701588,0.000701588,0.000701588
