                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 3.0456,                 1.5417,                 1.8892,                0.90712,                0.76934,                0.86041,                0.54424,                 1.1388,                0.59805,                0.73855,              0.0003962,              0.0003962,              0.0003962
                     83,                 3.0288,                 1.5359,                 1.8941,                0.89498,                0.77422,                0.85576,                0.53422,                 1.1564,                0.63038,                0.74198,              0.0003764,              0.0003764,              0.0003764
                     84,                 3.0361,                 1.5445,                 1.8883,                 0.9118,                0.76862,                 0.8604,                0.53075,                 1.1618,                0.60533,                0.74178,              0.0003566,              0.0003566,              0.0003566
                     85,                 3.0911,                 1.5524,                 1.8728,                0.90383,                0.77443,                0.85662,                0.53197,                  1.163,                 0.6025,                0.74167,              0.0003368,              0.0003368,              0.0003368
                     86,                 3.0502,                 1.5439,                 1.8842,                0.90037,                0.77661,                0.85884,                0.53708,                 1.1549,                0.59958,                0.74131,               0.000317,               0.000317,               0.000317
                     87,                 3.0412,                 1.5333,                 1.8778,                0.90244,                 0.7734,                0.85812,                 0.5334,                 1.1575,                0.60944,                0.74073,              0.0002972,              0.0002972,              0.0002972
                     88,                   3.03,                 1.5647,                 1.8844,                0.90718,                0.78243,                0.86491,                 0.5468,                 1.1342,                0.61423,                0.73673,              0.0002774,              0.0002774,              0.0002774
                     89,                 3.0123,                 1.5359,                 1.8645,                0.90658,                0.78073,                0.86397,                0.54589,                  1.138,                0.59847,                0.73693,              0.0002576,              0.0002576,              0.0002576
                     90,                  3.008,                 1.5216,                 1.8741,                0.91353,                0.77211,                0.86384,                0.54246,                 1.1473,                 0.5883,                0.73937,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.9452,                 1.5388,                 1.9177,                0.90151,                0.77695,                0.86078,                0.53496,                 1.1536,                0.61435,                0.74019,               0.000218,               0.000218,               0.000218
                     92,                 2.8742,                 1.4538,                 1.8918,                0.90614,                 0.7767,                0.86114,                0.53919,                 1.1461,                0.62948,                0.73868,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.9604,                 1.5413,                 1.9143,                0.90807,                0.77675,                 0.8632,                0.53567,                 1.1543,                0.61357,                0.73979,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.9074,                 1.5038,                 1.9134,                0.91109,                0.77422,                0.86228,                0.53995,                 1.1492,                0.62936,                0.73997,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.8928,                 1.5159,                 1.9174,                0.90573,                0.77654,                 0.8629,                0.53608,                 1.1552,                0.60359,                0.74032,              0.0001388,              0.0001388,              0.0001388
                     96,                  2.946,                 1.5369,                 1.9039,                 0.9087,                0.77822,                0.86277,                0.53823,                 1.1516,                0.60493,                 0.7397,               0.000119,               0.000119,               0.000119
                     97,                 2.8838,                   1.47,                 1.9016,                0.90795,                0.77277,                0.86188,                0.53253,                 1.1603,                0.61565,                0.73989,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  2.848,                 1.4469,                 1.8937,                0.90549,                0.78054,                0.86304,                0.54129,                 1.1467,                0.59988,                0.73897,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.8816,                 1.4584,                 1.8961,                0.90674,                 0.7757,                0.86341,                0.53694,                 1.1566,                0.60478,                0.73951,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.8794,                 1.4949,                 1.8966,                0.90828,                0.77801,                 0.8616,                0.53258,                 1.1576,                0.61314,                0.73948,               3.98e-05,               3.98e-05,               3.98e-05
