                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  2.588,                 1.2856,                 2.0982,                0.71473,                0.38227,                0.42069,                0.22342,                 3.2858,                 1.4541,                 2.4146,             0.00021607,             0.00021607,             0.00021607
                     79,                 2.6074,                 1.3089,                 2.0899,                0.70064,                0.40198,                0.43342,                0.23201,                  3.271,                 1.4498,                 2.4094,             0.00020707,             0.00020707,             0.00020707
                     80,                 2.5597,                 1.2679,                 2.0758,                0.56247,                0.40121,                0.42481,                0.23301,                 3.2795,                 1.4365,                 2.3978,             0.00019807,             0.00019807,             0.00019807
                     81,                 2.6066,                 1.3049,                 2.0724,                 0.5722,                0.39925,                 0.4283,                0.23757,                 3.2604,                 1.4554,                 2.3969,             0.00018907,             0.00018907,             0.00018907
                     82,                 2.5747,                 1.2871,                 2.0781,                0.53811,                0.44214,                0.42929,                0.23375,                 3.2661,                 1.4425,                 2.4021,             0.00018007,             0.00018007,             0.00018007
                     83,                 2.5485,                  1.273,                 2.0726,                 0.5758,                0.39987,                0.41886,                0.23361,                 3.2525,                 1.4528,                 2.4092,             0.00017107,             0.00017107,             0.00017107
                     84,                 2.5911,                 1.2982,                 2.0683,                0.71557,                0.39313,                0.42645,                0.23494,                 3.2696,                 1.4367,                 2.4098,             0.00016207,             0.00016207,             0.00016207
                     85,                 2.5447,                 1.2538,                 2.0615,                0.72981,                0.37863,                 0.4283,                 0.2394,                 3.2694,                 1.4377,                 2.4043,             0.00015308,             0.00015308,             0.00015308
                     86,                 2.5368,                 1.2624,                 2.0675,                0.60326,                0.39425,                0.43818,                0.24571,                 3.2461,                 1.4224,                 2.3992,             0.00014408,             0.00014408,             0.00014408
                     87,                 2.5277,                 1.2531,                 2.0723,                0.73079,                0.39346,                 0.4353,                0.24329,                 3.2522,                 1.4337,                 2.4041,             0.00013508,             0.00013508,             0.00013508
                     88,                 2.5682,                 1.2901,                 2.0665,                0.72621,                0.40659,                0.43659,                0.24228,                 3.2571,                 1.4314,                 2.4001,             0.00012608,             0.00012608,             0.00012608
                     89,                 2.4572,                 1.1996,                 2.0541,                0.69622,                0.42465,                0.42631,                0.23512,                 3.2685,                 1.4382,                 2.4144,             0.00011708,             0.00011708,             0.00011708
                     90,                 2.5125,                 1.2566,                 2.0526,                0.72981,                 0.3875,                0.42707,                0.23578,                 3.2708,                 1.4335,                 2.4186,             0.00010808,             0.00010808,             0.00010808
                     91,                 2.3892,                 1.0787,                 2.0608,                 0.7118,                0.41544,                 0.4212,                0.23144,                 3.2854,                 1.4354,                  2.436,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 2.3965,                 1.0791,                   2.05,                0.73564,                0.39284,                0.42595,                0.23373,                 3.2727,                 1.4195,                 2.4229,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                 2.3582,                 1.0654,                 2.0498,                0.74366,                0.38621,                0.42647,                0.23429,                 3.2779,                 1.4318,                 2.4289,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                 2.3546,                 1.0652,                 2.0323,                0.73338,                0.39348,                 0.4247,                0.23273,                 3.2886,                 1.4455,                 2.4351,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                 2.3331,                 1.0642,                 2.0356,                0.58625,                0.38523,                0.42683,                0.23439,                 3.2903,                 1.4373,                 2.4482,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                 2.3277,                 1.0515,                 2.0332,                0.72099,                0.39389,                0.42293,                0.23537,                 3.2813,                 1.4454,                  2.439,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                 2.3129,                 1.0413,                 2.0376,                0.72221,                0.39834,                0.42414,                0.23491,                 3.2787,                 1.4334,                 2.4344,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 2.3025,                 1.0356,                 2.0178,                0.72069,                0.40534,                0.42664,                0.23516,                 3.2766,                 1.4334,                 2.4359,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                 2.3225,                  1.049,                 2.0215,                0.73441,                0.38953,                0.42567,                0.23702,                 3.2778,                 1.4362,                 2.4395,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                 2.3007,                 1.0402,                 2.0153,                0.73088,                0.38491,                0.42382,                 0.2347,                 3.2861,                 1.4388,                 2.4447,             1.8089e-05,             1.8089e-05,             1.8089e-05
