                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 3.3306,                 2.3714,                 1.8102,                0.44924,                0.37108,                0.35957,                0.20546,                 3.3988,                 3.5366,                 1.9731,             0.00031908,             0.00031908,             0.00031908
                     74,                 3.2669,                 2.2621,                 1.8103,                0.46342,                0.38488,                0.37292,                0.21434,                 3.3128,                 3.3445,                 1.9603,             0.00030808,             0.00030808,             0.00030808
                     75,                 3.3045,                 2.3324,                 1.8151,                0.46686,                0.38293,                0.37553,                0.22037,                 3.3468,                 3.2884,                 1.9501,             0.00029708,             0.00029708,             0.00029708
                     76,                 3.4229,                 2.3526,                 1.8059,                0.47043,                0.39747,                0.39047,                0.22225,                 3.4145,                 3.3041,                 1.9761,             0.00028608,             0.00028608,             0.00028608
                     77,                 3.2852,                 2.2677,                 1.8352,                0.47336,                0.39572,                0.38909,                0.22132,                 3.3909,                 3.3269,                 1.9781,             0.00027508,             0.00027508,             0.00027508
                     78,                 3.2735,                 2.2807,                 1.8153,                0.45484,                0.40668,                0.38542,                 0.2235,                 3.3119,                 3.3413,                 1.9499,             0.00026408,             0.00026408,             0.00026408
                     79,                 3.2389,                 2.2523,                 1.8084,                0.46103,                0.39392,                0.37648,                0.21543,                 3.3825,                 3.4308,                 1.9762,             0.00025309,             0.00025309,             0.00025309
                     80,                 3.2333,                 2.2546,                 1.8015,                0.46302,                0.39287,                0.37987,                0.21846,                 3.4163,                 3.4883,                 1.9833,             0.00024209,             0.00024209,             0.00024209
                     81,                 3.2282,                  2.229,                  1.821,                0.46211,                 0.4108,                0.38933,                0.21884,                 3.4625,                 3.4029,                 1.9819,             0.00023109,             0.00023109,             0.00023109
                     82,                 3.2388,                 2.2249,                 1.7945,                0.46876,                0.38637,                0.37472,                0.21503,                  3.362,                 3.5157,                 1.9659,             0.00022009,             0.00022009,             0.00022009
                     83,                 3.1749,                 2.2239,                 1.7967,                0.43903,                0.39391,                0.36517,                 0.2071,                 3.3755,                 3.6163,                 1.9933,             0.00020909,             0.00020909,             0.00020909
                     84,                 3.2248,                 2.2393,                 1.7979,                0.45563,                0.40661,                0.37974,                0.22163,                 3.2998,                 3.3409,                 1.9608,             0.00019809,             0.00019809,             0.00019809
                     85,                 3.1818,                 2.2115,                  1.796,                 0.4683,                0.42015,                0.39902,                0.23032,                  3.371,                 3.2369,                 1.9664,             0.00018709,             0.00018709,             0.00018709
                     86,                 3.3058,                 2.2472,                 1.7991,                0.45932,                0.41637,                0.38957,                0.21994,                 3.4571,                 3.4376,                 1.9881,             0.00017609,             0.00017609,             0.00017609
                     87,                 3.2696,                 2.1985,                 1.8109,                0.46014,                 0.4006,                0.37717,                0.21825,                 3.3366,                 3.5253,                 1.9688,             0.00016509,             0.00016509,             0.00016509
                     88,                 3.1666,                 2.2073,                 1.8026,                0.46777,                0.39999,                0.37736,                0.22103,                 3.2684,                 3.5632,                 1.9618,              0.0001541,              0.0001541,              0.0001541
                     89,                 3.2275,                 2.2202,                 1.7984,                0.47042,                0.40065,                0.38815,                0.22446,                  3.342,                  3.551,                  1.985,              0.0001431,              0.0001431,              0.0001431
                     90,                 3.2356,                 2.1919,                 1.7951,                0.48871,                0.40026,                0.40151,                0.23381,                 3.3113,                 3.4275,                 1.9682,              0.0001321,              0.0001321,              0.0001321
                     91,                  3.099,                 2.2299,                 1.8008,                0.47421,                0.40107,                0.39184,                0.22668,                 3.3367,                 3.4585,                  1.978,              0.0001211,              0.0001211,              0.0001211
                     92,                 3.0731,                  2.205,                 1.8045,                0.47495,                0.39045,                0.39092,                0.22767,                 3.3444,                 3.4801,                 1.9696,              0.0001101,              0.0001101,              0.0001101
                     93,                  3.069,                 2.1614,                 1.8075,                0.46933,                0.39914,                0.39293,                0.22351,                 3.4155,                 3.5489,                 1.9958,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 3.0991,                 2.1899,                  1.817,                0.47325,                0.40013,                0.39161,                0.22414,                 3.4045,                 3.4883,                 1.9797,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 3.0576,                 2.1681,                 1.8147,                0.46249,                0.40203,                0.38582,                0.22051,                 3.4189,                 3.6546,                 1.9886,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 3.0806,                 2.1488,                 1.8091,                0.47137,                0.40621,                0.39141,                0.22433,                  3.367,                 3.5822,                 1.9877,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 3.0834,                 2.1688,                 1.8061,                0.47238,                0.40595,                0.39442,                0.22866,                 3.3525,                 3.5644,                 1.9767,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 3.0332,                 2.1443,                 1.8047,                0.46943,                0.40953,                0.39649,                0.22824,                 3.3727,                 3.5427,                 1.9779,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 3.0675,                 2.1521,                 1.8086,                0.46675,                0.40838,                0.39347,                0.22742,                 3.3627,                 3.5804,                 1.9759,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                  3.056,                 2.1471,                 1.7948,                0.46384,                0.40488,                0.39028,                0.22658,                 3.3596,                    3.6,                 1.9775,             2.2109e-05,             2.2109e-05,             2.2109e-05
